Rk,Player,Nation,Pos,Squad,90s,Cmp,ShortCmp,MedCmp,LongCmp,xAG,xA,KP,1/3P,PPA,CrsPA,SCA,PrgP,SuccTkon,PrgC,1/3C,CPA,PrgR,TcklW,Int
175,John McGinn,sct SCO,"MF,FW",Aston Villa,24.7,28.3,13.6,11.5,2.59,0.14,0.11,1.26,2.83,1.17,0.32,3.08,4.17,0.81,1.3,0.69,0.28,3.52,0.97,0.57
176,Dwight McNeil,eng ENG,"MF,FW",Everton,15.2,30.3,14.1,10.9,4.61,0.34,0.28,2.43,2.63,2.37,0.66,4.73,4.54,1.58,2.5,2.24,0.33,5.26,0.53,0.39
177,Mikel Merino,es ESP,"MF,FW",Arsenal,17.6,25.6,16.2,7.27,0.97,0.11,0.07,0.97,2.27,1.36,0.23,2.44,3.92,0.51,0.63,0.74,0.23,5.34,1.59,0.85
178,Marshall Munetsi,zw ZIM,"MF,FW",Wolves,12,12.7,7.92,3.58,0.25,0.15,0.09,0.75,0.58,0.25,0.17,1.75,0.83,0.25,0.75,0.33,0.33,2.92,0.83,0.5
179,Cole Palmer,eng ENG,"MF,FW",Chelsea,35.5,32.1,13.2,13.2,4.87,0.31,0.26,2.45,4.59,1.8,0.48,5.7,6.03,1.44,3.38,2.14,1.15,5.27,0.56,0.31
180,Lucas Paquetá,br BRA,"MF,FW",West Ham,26.4,42.7,22.3,14.7,4.51,0.12,0.13,1.36,5,1.67,0.15,3.1,5.87,0.8,0.98,1.29,0.08,3.22,1.4,0.68
181,Daniel Podence,pt POR,"MF,FW",Wolves,0.5,22,14,6,0,0,0,0,2,2,0,0,4,4,2,2,0,6,0,0
182,Jay Robinson,eng ENG,"MF,FW",Southampton,1.5,15.3,9.33,4,0.67,0.47,0.33,2,0.67,0.67,0,5.26,0.67,4,2,1.33,0.67,6.67,0.67,0
183,Georginio Rutter,fr FRA,"MF,FW",Brighton,18.4,12.9,7.83,4.02,0.54,0.14,0.09,1.03,1.63,0.87,0.05,3.47,3.64,1.47,2.28,1.96,0.87,4.29,0.82,0.54
184,Pablo Sarabia,es ESP,"MF,FW",Wolves,9,34.2,16,12.2,4,0.2,0.21,1.67,4.33,2.22,0.33,3.1,6.67,0.67,1.67,1.67,0,6.89,0.89,0.44
185,Bernardo Silva,pt POR,"MF,FW",Manchester City,29.7,52.1,29.5,18.7,2.76,0.17,0.15,1.78,2.93,1.35,0.24,3.1,4.51,0.94,3.4,2.19,1.08,6.73,1.25,0.77
186,Carlos Soler,es ESP,"MF,FW",West Ham,15.7,36.3,19.6,13.5,2.04,0.09,0.12,1.15,2.74,0.83,0,3.26,3.57,0.51,1.08,1.08,0.25,2.36,0.7,0.51
187,Carlos Vinícius,br BRA,"MF,FW",Fulham,0.2,5,5,0,0,0,0,0,0,0,0,11.25,0,5,5,0,5,15,0,0
188,Joe Willock,eng ENG,"MF,FW",Newcastle Utd,12.1,24.8,14.4,8.84,0.83,0.17,0.07,1.82,2.31,0.66,0,3.73,3.39,0.99,3.14,2.31,1.32,7.11,1.4,0.5
